region_id,temperature,humidity,rainfall,wind_speed,season_trend
1,39.3,70.3,200.1,20.4,Cold
2,32.9,78.9,2340.7,36.8,Hot
3,8.9,93.4,881.4,38.5,Temperate
4,44.0,22.2,1182.8,35.0,Humid
5,41.9,61.9,1830.4,35.1,Humid
6,19.3,22.4,797.2,27.0,Dry
7,43.0,95.0,55.8,38.7,Temperate
8,8.6,36.0,1690.9,33.7,Temperate
9,26.6,89.8,719.1,7.4,Temperate
10,19.6,68.7,128.0,8.4,Humid
11,7.2,71.9,1782.4,35.4,Temperate
12,41.0,85.1,469.1,2.6,Humid
13,39.5,76.9,150.0,10.3,Hot-Dry
14,5.2,88.6,2035.4,6.8,Hot
15,25.4,90.6,2124.0,25.0,Hot
16,44.1,36.1,1422.8,4.6,Hot-Dry
17,37.6,71.9,1196.7,36.0,Hot
18,29.1,76.7,2201.8,7.8,Cold
19,24.2,67.4,854.3,3.7,Humid
20,24.8,26.2,1752.9,36.4,Hot
21,35.9,76.6,524.8,6.5,Wet
22,11.8,20.6,467.0,25.7,Humid
23,17.7,56.0,210.6,20.3,Temperate
24,8.9,93.1,2285.9,21.4,Cold
25,11.3,22.7,200.7,3.1,Dry
26,19.2,20.4,1098.0,4.7,Cold
27,17.4,90.9,177.3,16.2,Cold
28,26.1,58.6,1458.0,29.5,Dry
29,33.7,63.1,234.4,17.9,Humid
30,38.7,42.4,535.3,3.3,Wet
31,23.8,94.2,742.7,3.7,Wet
32,21.1,90.9,276.9,23.6,Cold
33,21.5,90.8,2049.1,9.8,Wet
34,27.9,67.3,1442.7,8.3,Temperate
35,40.3,54.5,2129.9,30.7,Wet
36,29.1,54.7,1347.3,14.6,Hot-Dry
37,43.9,36.5,1067.5,13.0,Temperate
38,36.8,65.1,2050.2,16.7,Temperate
39,18.8,29.9,2278.1,38.6,Wet
40,41.5,77.4,2427.5,29.1,Cold
41,33.7,33.0,1875.2,14.9,Humid
42,30.5,35.4,2001.2,7.3,Wet
43,24.6,80.0,207.2,19.9,Wet
44,12.7,84.0,2352.1,26.5,Humid
45,18.9,39.7,616.2,21.1,Temperate
46,27.0,63.0,1568.5,36.9,Hot-Dry
47,29.3,71.3,1501.8,37.2,Temperate
48,24.0,90.0,2412.8,10.2,Wet
49,41.9,31.9,362.1,18.1,Wet
50,7.9,77.9,1290.3,19.9,Hot
51,12.9,36.6,2269.7,39.8,Temperate
52,10.7,83.2,259.0,17.0,Hot-Dry
53,5.9,64.0,506.6,8.2,Humid
54,28.1,63.3,665.2,32.9,Dry
55,35.4,44.0,935.8,9.6,Hot-Dry
56,19.2,37.3,1984.9,25.8,Temperate
57,37.1,30.3,1274.2,11.8,Cold
58,42.7,55.9,439.8,34.8,Hot
59,34.0,89.9,1951.9,26.0,Hot-Dry
60,38.8,40.4,558.8,27.1,Temperate
61,38.9,33.7,1757.0,21.3,Hot
62,18.2,27.2,1434.9,21.0,Cold
63,19.0,75.6,318.7,31.3,Temperate
64,24.2,37.6,1839.3,35.8,Temperate
65,19.5,36.2,879.6,27.9,Wet
66,13.2,45.6,1727.7,9.4,Humid
67,28.2,65.0,1905.9,20.2,Humid
68,31.9,62.7,391.8,13.9,Hot
69,27.0,51.7,1663.4,6.3,Wet
70,43.3,35.1,2189.6,14.1,Hot-Dry
71,21.5,78.6,2140.0,10.8,Hot-Dry
72,32.2,53.8,193.7,39.6,Cold
73,14.4,38.3,764.1,15.2,Hot-Dry
74,22.2,68.6,2233.8,14.5,Dry
75,34.6,52.8,2315.7,25.9,Cold
76,44.9,92.3,2369.6,27.8,Hot
77,38.4,69.1,1213.8,30.6,Humid
78,5.8,42.3,1842.5,31.3,Hot-Dry
79,5.8,77.2,344.2,20.6,Wet
80,44.6,45.4,1972.2,31.5,Humid
81,30.2,88.2,927.1,11.6,Hot-Dry
82,24.5,81.0,441.8,39.0,Wet
83,34.3,70.3,2413.5,39.9,Humid
84,29.2,75.4,2197.5,16.2,Hot-Dry
85,16.2,92.1,375.4,38.9,Hot-Dry
86,36.6,92.2,931.8,20.1,Hot
87,9.8,54.2,1653.7,14.2,Wet
88,43.4,22.8,1667.3,2.2,Hot
89,24.6,41.2,1340.0,23.6,Cold
90,19.5,62.4,2223.7,8.6,Hot
91,13.0,57.3,1715.0,3.5,Dry
92,23.5,44.4,1344.3,25.5,Hot
93,30.3,33.3,94.2,13.1,Hot
94,42.0,21.0,187.5,3.3,Temperate
95,8.1,69.3,939.2,30.0,Dry
96,32.1,71.9,1925.6,6.2,Humid
97,25.8,21.6,1816.1,10.2,Hot-Dry
98,14.4,93.2,2250.7,31.2,Cold
99,30.7,64.5,90.7,28.1,Humid
100,41.8,66.6,1504.4,30.3,Hot
101,5.2,68.7,1611.2,16.8,Hot
102,16.8,93.0,1460.5,24.4,Humid
103,31.2,90.4,838.0,28.1,Dry
104,15.2,65.5,810.3,20.8,Hot-Dry
105,13.9,56.7,831.2,20.4,Dry
106,11.1,82.8,2325.5,32.4,Cold
107,22.9,65.3,2238.6,34.5,Dry
108,22.2,74.5,2308.7,25.2,Hot-Dry
109,11.6,34.2,957.1,30.6,Hot
110,32.4,70.9,2410.1,38.9,Hot
111,22.2,52.7,2367.0,3.9,Hot
112,38.2,69.4,525.7,36.0,Wet
113,33.5,92.6,117.5,29.8,Dry
114,14.8,26.9,300.6,22.6,Cold
115,25.8,46.6,2111.2,9.9,Hot-Dry
116,42.5,45.7,2465.0,39.0,Dry
117,16.4,93.8,581.2,8.2,Cold
118,14.7,51.4,881.3,28.1,Cold
119,24.3,27.2,1103.4,28.3,Temperate
120,32.5,53.5,735.6,2.9,Dry
121,39.5,23.3,1693.8,25.2,Temperate
122,28.4,21.5,1510.8,35.5,Cold
123,29.3,74.3,153.4,23.4,Humid
124,24.7,24.1,1103.4,24.9,Cold
125,39.0,84.8,2043.5,37.6,Hot
126,10.0,94.7,1863.8,18.6,Dry
127,7.6,77.3,191.4,12.5,Wet
128,22.2,42.4,1814.4,6.7,Wet
129,12.5,92.4,1985.5,14.4,Humid
130,30.5,71.0,1292.1,16.0,Temperate
131,28.6,29.1,1638.0,14.0,Humid
132,36.6,27.0,1998.1,19.9,Wet
133,29.0,30.2,717.3,29.4,Hot-Dry
134,9.6,69.1,2170.5,16.1,Temperate
135,37.5,62.2,2071.0,10.0,Humid
136,28.7,40.8,665.7,14.9,Temperate
137,24.6,80.0,1074.5,28.6,Temperate
138,42.8,68.8,1909.3,15.0,Humid
139,14.1,25.3,1479.6,14.5,Humid
140,22.8,90.1,795.6,32.0,Dry
141,42.8,61.2,1824.4,2.9,Cold
142,27.8,38.0,276.4,2.1,Dry
143,40.4,90.5,517.2,35.1,Humid
144,32.4,22.8,77.6,23.7,Wet
145,42.3,35.4,2151.0,25.5,Dry
146,36.9,52.2,939.2,3.1,Humid
147,42.7,63.5,943.6,24.1,Temperate
148,32.0,57.9,1358.9,4.3,Dry
149,19.7,90.9,1589.1,29.9,Temperate
150,35.2,66.8,558.6,7.5,Cold
151,42.3,71.5,1501.0,24.8,Wet
152,26.2,78.1,240.0,22.6,Hot-Dry
153,39.5,56.5,2139.2,16.1,Wet
154,15.9,73.7,221.2,17.8,Wet
155,8.5,90.1,1098.5,15.0,Humid
156,39.0,54.3,199.4,33.9,Humid
157,28.4,94.6,1666.0,25.3,Humid
158,31.4,28.7,1231.2,24.2,Wet
159,37.3,70.9,641.9,9.8,Dry
160,9.0,86.2,726.6,3.0,Cold
161,44.2,82.6,911.1,37.3,Hot-Dry
162,44.5,53.6,1377.2,6.9,Humid
163,20.8,65.8,1863.1,29.1,Hot
164,41.2,35.1,1122.5,5.1,Dry
165,34.1,70.6,527.9,12.1,Wet
166,8.3,74.1,1284.1,4.5,Dry
167,42.9,73.2,918.5,4.6,Temperate
168,31.1,70.1,1581.8,24.6,Hot
169,7.7,76.9,318.0,19.1,Hot
170,38.5,41.8,1744.3,3.1,Cold
171,35.5,68.7,568.6,17.6,Dry
172,22.2,33.7,1623.6,32.5,Temperate
173,44.3,23.6,353.6,35.3,Temperate
174,23.2,83.6,1369.7,26.6,Dry
175,38.0,90.1,222.3,18.4,Hot
176,32.6,52.2,226.4,32.2,Wet
177,15.9,69.3,2131.0,33.5,Wet
178,27.3,82.6,1877.0,39.1,Humid
179,25.3,48.4,367.3,18.3,Humid
180,43.7,69.3,2370.7,12.8,Wet
181,24.1,92.0,325.8,3.2,Hot-Dry
182,16.5,67.6,1347.9,6.4,Hot-Dry
183,30.2,22.6,509.4,12.5,Cold
184,5.0,33.5,1305.4,34.7,Temperate
185,24.8,81.8,1198.4,25.4,Dry
186,12.4,68.0,553.1,3.8,Humid
187,30.8,91.2,244.7,6.6,Hot
